iteration,n_candidates,reward_time_ms,total_time_ms
117,694,524.5537757873535,571.0296630859375
118,693,523.2276916503906,571.9609260559082
119,692,520.5092430114746,566.8065547943115
120,691,528.6657810211182,580.6879997253418
121,690,523.6170291900635,568.629264831543
122,689,508.56709480285645,561.8362426757812
123,688,544.0001487731934,590.2566909790039
124,687,498.73805046081543,546.6609001159668
125,686,517.3065662384033,561.8195533752441
126,685,527.4133682250977,579.2062282562256
127,684,530.0397872924805,576.1187076568604
128,683,535.3326797485352,582.6504230499268
129,682,521.5640068054199,565.3483867645264
130,681,519.9017524719238,567.2702789306641
131,680,531.5139293670654,577.0494937896729
132,679,528.7172794342041,573.643684387207
133,678,520.8604335784912,565.2680397033691
134,677,522.7422714233398,569.9625015258789
135,676,503.9076805114746,554.8317432403564
136,675,511.15894317626953,555.6366443634033
137,674,515.9564018249512,561.8336200714111
138,673,514.5473480224609,560.7478618621826
139,672,507.6286792755127,552.4168014526367
140,671,518.9073085784912,565.1936531066895
141,670,517.1334743499756,560.776948928833
142,669,514.1010284423828,560.0712299346924
143,668,502.40588188171387,547.6677417755127
144,667,511.1982822418213,555.3603172302246
145,666,472.34368324279785,516.8430805206299
146,665,512.580156326294,556.9107532501221
147,664,523.0836868286133,566.176176071167
148,663,505.1126480102539,550.8427619934082
149,662,510.09225845336914,553.203821182251
150,661,491.09697341918945,534.8308086395264
151,660,498.6152648925781,541.6028499603271
152,659,492.65050888061523,538.7163162231445
153,658,509.305477142334,554.1231632232666
154,657,522.9361057281494,568.7611103057861
155,656,512.8724575042725,557.908296585083
156,655,483.82043838500977,529.4094085693359
157,654,501.7268657684326,545.8087921142578
158,653,501.94501876831055,547.142505645752
159,652,493.3607578277588,537.6124382019043
160,651,505.8784484863281,550.8158206939697
161,650,491.96362495422363,535.7856750488281
162,649,473.8335609436035,518.4340476989746
163,648,500.5221366882324,543.8315868377686
164,647,500.78749656677246,545.7391738891602
165,646,494.5056438446045,538.5003089904785
166,645,488.72852325439453,531.6746234893799
167,644,496.11639976501465,540.0025844573975
168,643,485.98527908325195,530.6203365325928
169,642,497.85518646240234,540.757417678833
170,641,515.6993865966797,558.610200881958
171,640,479.6779155731201,521.9075679779053
172,639,493.746280670166,538.3515357971191
173,638,503.7343502044678,547.1289157867432
174,637,481.1816215515137,525.8402824401855
175,636,494.7237968444824,538.0113124847412
176,635,480.9455871582031,525.5167484283447
177,634,480.1168441772461,523.5340595245361
178,633,519.1950798034668,563.4348392486572
179,632,492.2645092010498,535.9280109405518
180,631,491.2879467010498,536.1320972442627
181,630,490.75889587402344,534.0442657470703
182,629,481.1568260192871,525.1858234405518
183,628,470.39127349853516,514.1310691833496
184,627,503.63707542419434,548.4967231750488
185,626,479.917049407959,522.9718685150146
186,625,476.4218330383301,520.5540657043457
187,624,478.08313369750977,521.5203762054443
188,623,495.5615997314453,537.5921726226807
189,622,470.0927734375,512.8302574157715
1,378,14996.989488601685,14997.459411621094
2,374,83.17112922668457,93.5063362121582
3,370,77.77833938598633,87.65125274658203
4,366,76.04455947875977,86.20309829711914
5,362,77.02398300170898,86.33589744567871
6,358,76.00760459899902,85.77966690063477
7,354,74.5539665222168,83.83059501647949
8,350,73.88973236083984,83.70804786682129
9,346,73.22359085083008,82.30113983154297
10,342,72.1580982208252,81.56538009643555
11,338,71.73013687133789,80.72423934936523
12,334,71.73514366149902,81.27570152282715
13,330,76.38096809387207,85.18147468566895
14,326,72.2966194152832,81.64286613464355
15,322,69.03266906738281,77.26621627807617
16,318,68.47906112670898,77.63314247131348
17,314,66.89333915710449,75.07658004760742
18,310,65.59157371520996,74.45192337036133
19,306,65.59896469116211,73.99654388427734
20,302,64.00203704833984,72.75772094726562
21,298,64.01538848876953,72.1900463104248
22,294,62.422990798950195,70.94264030456543
